entity1,relation,entity2,merged_sentence,label
tag,be used for,questions,tag be used for questions,F
versions,include,code names,versions include code names,F
versions,include,release dates,versions include release dates,F
versions,include,notes,versions include notes,F
code names,include,code names,code names include code names,F
code names,include,release dates,code names include release dates,F
code names,include,notes,code names include notes,F
release dates,include,code names,release dates include code names,F
release dates,include,release dates,release dates include release dates,F
release dates,include,notes,release dates include notes,F
Questions,should use,this tag,questions should use this tag,F
metadata,consists of,styling,metadata consists of styling,F
metadata,consists of,the template,metadata consists of the template,F
metadata,consists of,templateUrl,metadata consists of templateurl,F
metadata,consists of,the selector,metadata consists of the selector,F
application,needs,any value,application needs any value,F
application,needs,function,application needs function,F
application,needs,feature,application needs feature,F
Angular uses dependency injection,provide,new components,angular uses dependency injection provide new components,F
Angular uses dependency injection,provide,the services,angular uses dependency injection provide the services,F
Pipes,are used for transforming,transforming values,pipes are used for transforming transforming values,T
Pipes,are used for transforming,one form,pipes are used for transforming one form,T
Angular versioning,follows,Semantic Versioning principles,angular versioning follows semantic versioning principles,T
all major versions,feature,some breaking changes,all major versions feature some breaking changes,F
General help regarding MS Excel,is available at,Super User,general help regarding ms excel is available at super user,T
MS Excel,features,Visual Basic,ms excel features visual basic,T
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
Regular expressions,provide,a declarative language,regular expressions provide a declarative language,T
Regular expressions,match,patterns,regular expressions match patterns,F
Regular expressions,are commonly used for,string validation,regular expressions are commonly used for string validation,T
Regular expressions,are commonly used for,transformation,regular expressions are commonly used for transformation,T
all questions,include,a tag,all questions include a tag,F
Requests,explain,a regular expression pattern,requests explain a regular expression pattern,F
Requests,explain,construct,requests explain construct,F
this regex mean,contains,details,this regex mean contains details,F
this regex mean,contains,regular expression constructs,this regex mean contains regular expression constructs,F
the canonical post,contains,links,the canonical post contains links,T
Regular expressions,are available in,programming languages,regular expressions are available in programming languages,T
Regular expressions,are available in,dialects,regular expressions are available in dialects,T
Regular expressions,are available in,processing tools,regular expressions are available in processing tools,T
The term,is typically abbreviated as,regex,the term is typically abbreviated as regex,F
The term,is typically abbreviated as,RegEx,the term is typically abbreviated as regex,F
common denominator,recommended for,a tool,common denominator recommended for a tool,F
question,relates to,automata theory sense,question relates to automata theory sense,F
question,relates to,regular expressions,question relates to regular expressions,F
A link,see,link section,a link see link section,F
some representative data,can do,wonders,some representative data can do wonders,F
A link,see,attempt,a link see attempt,F
issue,been solved by,somebody,issue been solved by somebody,F
issue,has already been solved,somebody,issue has already been solved somebody,F
issue,asking,asking something,issue asking asking something,F
issue,asking,asking something,issue asking asking something,F
The following section,outlines,some common recurring topics,the following section outlines some common recurring topics,F
the tool,are using,using supports,the tool are using using supports,F
the tool,are using,the syntax,the tool are using the syntax,F
question,is not specific to,any particular implementation,question is not specific to any particular implementation,F
many engines,issue,a warning,many engines issue a warning,F
the regex way,say,the record,the regex way say the record,F
p,matches,the same string,p matches the same string,F
p,matches,expression http,p matches expression http,F
Beginners,attempt to use,square brackets,beginners attempt to use square brackets,F
Jun,may look like,a regex,jun may look like a regex,F
Jun,may look like,matching months,jun may look like matching months,F
abc,defines,a character class,abc defines a character class,F
a character class,matches,a single character,a character class matches a single character,F
abc,defines,the record,abc defines the record,F
The proper way,express,alternation,the proper way express alternation,F
BRE,will need,backslashes,bre will need backslashes,T
related dialects,will need,backslashes,related dialects will need backslashes,F
beginners,will use negated,character classes,beginners will use negated character classes,F
The proper way,express,many dialects,the proper way express many dialects,F
beginners,will use negated,attempt,beginners will use negated attempt,F
turn,followed by,any single character,turn followed by any single character,F
abc,matches,a single character,abc matches a single character,F
the character class negation operator,is distinct from,the beginning,the character class negation operator is distinct from the beginning,F
the engine,will find,the engine,the engine will find the engine,F
The regex a.,will match,the entire string,the regex a. will match the entire string,F
b,will match,the entire string,b will match the entire string,F
abc,captures,the last occurrence,abc captures the last occurrence,F
abc,captures,string,abc captures string,F
Regular expressions,are useful in,a wide variety,regular expressions are useful in a wide variety,T
Common applications,include,data validation,common applications include data validation,F
Common applications,include,the production,common applications include the production,F
Common applications,include,data,common applications include data,F
Common applications,include,data,common applications include data,F
Common applications,include,many other tasks,common applications include many other tasks,F
regular expressions,would be useful on,Internet search engines,regular expressions would be useful on internet search engines,F
many cases system administrators,can run,queries,many cases system administrators can run queries,F
search engines,do not offer,regex support,search engines do not offer regex support,F
many cases system administrators,can run,many cases system administrators,many cases system administrators can run many cases system administrators,F
search engines,do not offer,the public,search engines do not offer the public,F
Google,offers,re2,google offers re2,T
Google,does not backtrack,linear runtime growth,google does not backtrack linear runtime growth,T
a smartphone,was first launched on,June,a smartphone was first launched on june,F
Native iOS applications,are written in,C,native ios applications are written in c,T
Native iOS applications,are written in,the release,native ios applications are written in the release,F
Native iOS applications,are written in,Swift,native ios applications are written in swift,T
Native iOS applications,are written in,C,native ios applications are written in c,T
Native iOS applications,are written in,the release,native ios applications are written in the release,F
Native iOS applications,are written in,Swift,native ios applications are written in swift,T
Native iOS applications,using,the Cocoa Touch frameworks,native ios applications using the cocoa touch frameworks,T
Native iOS applications,using,the Cocoa Touch frameworks,native ios applications using the cocoa touch frameworks,T
the Cocoa Touch frameworks,share,many classes,the cocoa touch frameworks share many classes,T
the Cocoa Touch frameworks,share,features,the cocoa touch frameworks share features,T
the Cocoa Touch frameworks,are distinct from,Cocoa,the cocoa touch frameworks are distinct from cocoa,T
Cocoa,is used exclusively for,macOS development,cocoa is used exclusively for macos development,T
questions,are also applicable to,iPod touch devices,questions are also applicable to ipod touch devices,F
The iPhone,has,several hardware features,the iphone has several hardware features,T
The iPhone,has,sensors,the iphone has sensors,T
The iPhone,use,the Cocoa Touch frameworks,the iphone use the cocoa touch frameworks,T
iPod touch applications,use,the Cocoa Touch frameworks,ipod touch applications use the cocoa touch frameworks,T
The iPhone,wear,both tags,the iphone wear both tags,F
several hardware features,are accessible to,native applications,several hardware features are accessible to native applications,F
several hardware features,are accessible to,some cases,several hardware features are accessible to some cases,F
sensors,are accessible to,native applications,sensors are accessible to native applications,F
sensors,are accessible to,some cases,sensors are accessible to some cases,F
several hardware features,are accessible to,native applications,several hardware features are accessible to native applications,F
several hardware features,are accessible to,some cases,several hardware features are accessible to some cases,F
classes,exist in,both Cocoa,classes exist in both cocoa,F
classes,exist in,Cocoa Touch,classes exist in cocoa touch,F
The iPhone,are developed using,the Xcode IDE,the iphone are developed using the xcode ide,T
The iPhone,use,the Cocoa Touch frameworks,the iphone use the cocoa touch frameworks,T
language,combines,concepts,language combines concepts,F
language,combines,Perl,language combines perl,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,concepts,language combines concepts,F
language,supports,multiple programming paradigms,language supports multiple programming paradigms,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,Perl,language combines perl,F
language,combines,concepts,language combines concepts,F
language,has,a dynamic type system,language has a dynamic type system,F
language,has,automatic memory management,language has automatic memory management,F
language,combines,concepts,language combines concepts,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,Perl,language combines perl,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,Perl,language combines perl,F
primary purpose,help,every programmer,primary purpose help every programmer,F
primary purpose,enjoy,programming,primary purpose enjoy programming,F
Ruby,was initially conceived on,February,ruby was initially conceived on february,F
Ruby,was initially conceived on,Yukihiro Matsumoto,ruby was initially conceived on yukihiro matsumoto,T
Ruby's mindshare,spiked around,Ruby,ruby's mindshare spiked around ruby,F
Ruby,continuing to find,acceptance,ruby continuing to find acceptance,F
AJAX,uses,asynchronous data exchange,ajax uses asynchronous data exchange,T
AJAX,update displayed,information,ajax update displayed information,F
AJAX,uses,API,ajax uses api,F
data,was only sent during,the client communication phase,data was only sent during the client communication phase,F
Each HTML request,would provide,additional information,each html request would provide additional information,T
Each HTML request,would provide,additional information,each html request would provide additional information,T
Each HTML request,would provide,part,each html request would provide part,F
Each HTML request,would provide,data,each html request would provide data,T
Each HTML request,would provide,part,each html request would provide part,F
Each HTML request,would provide,data,each html request would provide data,T
This second alternative,used,operations,this second alternative used operations,F
an entire data,reloading,the base page,an entire data reloading the base page,F
an entire data,set into,the client,an entire data set into the client,F
ajax,is supported by,all modern browsers,ajax is supported by all modern browsers,T
level API,encapsulate,object,level api encapsulate object,F
level API,providing,interface,level api providing interface,F
The client,opens,a new XMLHttpRequest,the client opens a new xmlhttprequest,F
The client,requests,a web page,the client requests a web page,F
a special page,loads,data,a special page loads data,F
This request,is typically aimed at,a special page,this request is typically aimed at a special page,F
X,stands for,xml,x stands for xml,T
json,has replaced,xml,json has replaced xml,T
json,has replaced,the data interchange format,json has replaced the data interchange format,T
JavaScript,parses,text,javascript parses text,T
XML,must be parsed by,cumbersome set,xml must be parsed by cumbersome set,T
the code,must handle,the communications layer,the code must handle the communications layer,F
the client,receives,a packet,the client receives a packet,F
this callback function,will be called,every time,this callback function will be called every time,F
the client,receives,the server,the client receives the server,F
many javascript libraries,will handle,this interaction,many javascript libraries will handle this interaction,F
a new API,called fetch,an example,a new api called fetch an example,F
question,relates to,programming using Linux APIs,question relates to programming using linux apis,F
computer operating system,consists of,space libraries,computer operating system consists of space libraries,F
computer operating system,consists of,programs,computer operating system consists of programs,F
a system,uses,a monolithic kernel,a system uses a monolithic kernel,F
a monolithic kernel,handles,file system access,a monolithic kernel handles file system access,F
Device drivers,integrated directly with,the kernel,device drivers integrated directly with the kernel,F
Device drivers,are either integrated,the kernel,device drivers are either integrated the kernel,F
Separate projects,interface with,the kernel,separate projects interface with the kernel,F
the common Unix tools,carry,many basic operating system tasks,the common unix tools carry many basic operating system tasks,T
The graphical user interface,used by,Linux systems,the graphical user interface used by linux systems,F
The linux tag,is generally used for,questions,the linux tag is generally used for questions,F
Notable questions,be properly tagged as,Unix,notable questions be properly tagged as unix,F
some features,are specific to,Linux,some features are specific to linux,F
A fair number,tagged with,shell,a fair number tagged with shell,F
the particular shell,are interested in,bash,the particular shell are interested in bash,F
regarding writing GNU,should be tagged,kernel,regarding writing gnu should be tagged kernel,F
Distrowatch aggregates,keeps,track,distrowatch aggregates keeps track,F
XML flexibility,lends to,a wide variety,xml flexibility lends to a wide variety,F
XML,is defined in,the XML 1.0 Specification,xml is defined in the xml 1.0 specification,T
The tags,will be similar to,tags,the tags will be similar to tags,F
The tags,will be similar to,HTML,the tags will be similar to html,F
a language,is very similar to,HTML,a language is very similar to html,F
XML,allows creating,custom tags,xml allows creating custom tags,T
this way XML,acts like,this way XML,this way xml acts like this way xml,F
this way XML,acts like,language,this way xml acts like language,F
a language,create,other languages,a language create other languages,F
The design goals,emphasize,simplicity,the design goals emphasize simplicity,F
The design goals,emphasize,generality,the design goals emphasize generality,F
The design goals,emphasize,usability,the design goals emphasize usability,F
the design,focuses on,documents,the design focuses on documents,F
the design,is widely used for,the representation,the design is widely used for the representation,F
XML,is also used in,some protocols,xml is also used in some protocols,T
Schemas,are usually defined with,an external namespace,schemas are usually defined with an external namespace,T
XML,define,tags,xml define tags,T
XML,has reached,version,xml has reached version,F
XML,was introduced in,version,xml was introduced in version,F
XML,has,some unique features,xml has some unique features,F
the structure,is very similar to,the structure,the structure is very similar to the structure,F
the nodes,being called,tags,the nodes being called tags,F
XML,is forward compatible with,the Unicode standard,xml is forward compatible with the unicode standard,T
The following links,provide,additional information,the following links provide additional information,F
the text,serves as,an example,the text serves as an example,F
The following text,is defined using,entity references,the following text is defined using entity references,F
The following links,learn about,sgml html xhtml xquery xpath xslt xlink xpointerxml,the following links learn about sgml html xhtml xquery xpath xslt xlink xpointerxml,F
language,used for,side scripting,language used for side scripting,F
language,used for,web browsers,language used for web browsers,F
JavaScript,be run outside of,the use,javascript be run outside of the use,F
JavaScript,be run outside of,the browser,javascript be run outside of the browser,T
answer,is expected for,questions,answer is expected for questions,F
JavaScript,runs on,every operating system,javascript runs on every operating system,T
an engine,is included in,mainstream web browsers,an engine is included in mainstream web browsers,F
The Mozilla Developer Network,contains,quality documentation,the mozilla developer network contains quality documentation,T
JavaScript,Cascading,Cascading Style Sheets,javascript cascading cascading style sheets,T
The Mozilla Developer Network,is also used in,addition,the mozilla developer network is also used in addition,F
The Mozilla Developer Network,is also used in,environments,the mozilla developer network is also used in environments,T
the language,was officially called,LiveScript,the language was officially called livescript,F
The Mozilla Developer Network,was developed under,the name Mocha,the mozilla developer network was developed under the name mocha,T
the language,shipped in,September,the language shipped in september,F
the language,shipped in,beta releases,the language shipped in beta releases,F
the language,was deployed in,the Netscape browser version 2.0B3,the language was deployed in the netscape browser version 2.0b3,F
Netscape adding support,adding,Netscape adding support,netscape adding support adding netscape adding support,F
Netscape adding support,adding,Netscape Netscape Netscape Navigator 2.0 web browser,netscape adding support adding netscape netscape netscape navigator 2.0 web browser,F
The final choice,caused,name caused confusion,the final choice caused name caused confusion,F
The final choice,giving,the impression,the final choice giving the impression,F
the choice,has been characterized as,a marketing ploy,the choice has been characterized as a marketing ploy,F
the term,originated from,Netscape,the term originated from netscape,F
ECMAScript,was developed as,a standardization,ecmascript was developed as a standardization,F
ECMAScript,was developed as,a standardization,ecmascript was developed as a standardization,F
people,do not distinguish,JScript variations,people do not distinguish jscript variations,F
modern browsers,implement,JavaScript,modern browsers implement javascript,T
browsers,implement,the ECMAScript 3 specification,browsers implement the ecmascript 3 specification,F
the ECMAScript 3 specification,does not contain,functions,the ecmascript 3 specification does not contain functions,F
JavaScript,provide,the potential,javascript provide the potential,F
the DOM,provide,the potential,the dom provide the potential,F
malicious authors,deliver,scripts,malicious authors deliver scripts,F
Browser authors,contain,this risk using two restrictions,browser authors contain this risk using two restrictions,F
scripts,perform,actions,scripts perform actions,F
scripts,run in,a sandbox,scripts run in a sandbox,T
scripts,perform,a sandbox,scripts perform a sandbox,F
scripts,are constrained by,origin policy,scripts are constrained by origin policy,F
access,sent to,another site,access sent to another site,F
code,is executed on,a Web page,code is executed on a web page,F
this tag,used in,conjunction,this tag used in conjunction,F
Java,has,level facilities,java has level facilities,F
The Java language,derives much of,C,the java language derives much of c,T
The Java language,derives much of,C++,the java language derives much of c++,T
Java applications,are typically compiled to,bytecode,java applications are typically compiled to bytecode,T
The JVM,compiles,code,the jvm compiles code,T
The JVM,optimize,performance,the jvm optimize performance,T
The JVM,manages,memory,the jvm manages memory,T
The JVM,manages,the help,the jvm manages the help,F
The JVM,see,collection,the jvm see collection,F
Java,supports,features,java supports features,F
Java,supports,Native Interface,java supports native interface,T
code,executes on,one platform,code executes on one platform,F
Java,is designed to have,few implementation dependencies,java is designed to have few implementation dependencies,T
Java,was originally developed by,James Gosling,java was originally developed by james gosling,T
Java,was originally developed by,Sun Microsystems,java was originally developed by sun microsystems,T
Sun Microsystems,merged with,Oracle Corporation,sun microsystems merged with oracle corporation,T
Sun Microsystems,merged with,January 27th,sun microsystems merged with january 27th,F
Java,was released in,a core component,java was released in a core component,T
Java,was started as,a project,java was started as a project,T
Java,was started as,June,java was started as june,F
computing systems,have installed,tools,computing systems have installed tools,F
computing systems,have installed,running Java programs,computing systems have installed running java programs,T
The Java platform,features,a wide variety,the java platform features a wide variety,F
developers,work efficiently with,the Java programming language,developers work efficiently with the java programming language,F
The main reference implementation,is supported by,major companies including Oracle,the main reference implementation is supported by major companies including oracle,F
few computers,can run,Java programs,few computers can run java programs,F
Java apps,own,installers,java apps own installers,F
Java,is compiled into,bytecode,java is compiled into bytecode,T
bytecode,is then compiled by,native machine code,bytecode is then compiled by native machine code,T
bytecode,is then compiled by,the JVM,bytecode is then compiled by the jvm,T
native code,compiled to target,version,native code compiled to target version,F
Java,can be compiled,Java,java can be compiled java,F
Java SE,will be released,every six months,java se will be released every six months,T
java code,need,a java installer package supplier,java code need a java installer package supplier,T
a supplier,will take,care,a supplier will take care,F
Java,comes in,LTS,java comes in lts,T
Java,comes in,non-LTS versions,java comes in non-lts versions,T
suppliers,release,all versions,suppliers release all versions,F
all versions,will support,LTS versions,all versions will support lts versions,F
The End,dates for,available distribution,the end dates for available distribution,F
Java programs,should adhere to,the following naming conventions,java programs should adhere to the following naming conventions,F
Java programs,increase,readability,java programs increase readability,T
Java programs,decrease,the chances,java programs decrease the chances,F
others,understand,code,others understand code,F
Java source code,is compiled to,an intermediate form,java source code is compiled to an intermediate form,T
an intermediate form,can be executed with,the java command,an intermediate form can be executed with the java command,T
People,ask about,the following Java topics,people ask about the following java topics,F
Python,incorporates,dynamic data types,python incorporates dynamic data types,T
Python,incorporates,modules,python incorporates modules,T
Python,incorporates,classes,python incorporates classes,T
Python,incorporates,exceptions,python incorporates exceptions,T
Python,incorporates,dynamic typing,python incorporates dynamic typing,T
Python,combines,remarkable power,python combines remarkable power,T
Python,combines,clear syntax,python combines clear syntax,T
Python,has interfaces to,many system calls,python has interfaces to many system calls,T
Python,has interfaces to,libraries,python has interfaces to libraries,T
Python,has interfaces to,various window systems,python has interfaces to various window systems,T
Python,has interfaces to,many system calls,python has interfaces to many system calls,T
Python,has interfaces to,libraries,python has interfaces to libraries,T
Python,has interfaces to,various window systems,python has interfaces to various window systems,T
Python,is extensible in,c,python is extensible in c,T
Python,is extensible in,c++,python is extensible in c++,T
applications,need,a programmable interface,applications need a programmable interface,F
Python,is also usable as,an extension language,python is also usable as an extension language,T
Python,runs on,the Mac,python runs on the mac,F
Python,runs on,many Unix variants,python runs on many unix variants,T
a large standard library,covers,areas,a large standard library covers areas,F
The language,comes with,a large standard library,the language comes with a large standard library,F
The Python Standard Library,get,an idea,the python standard library get an idea,F
Python,allows,programmers,python allows programmers,F
Python,express,concepts,python express concepts,F
Python,has,constructs,python has constructs,F
Python,was originally created by,Guido van Rossum,python was originally created by guido van rossum,T
Guido van Rossum chose Python,chose,Guido van Rossum chose Python,guido van rossum chose python chose guido van rossum chose python,F
Guido van Rossum chose Python,chose,a working title,guido van rossum chose python chose a working title,F
a question,relates to,a specific version,a question relates to a specific version,F
Python,supports,multiple programming paradigms,python supports multiple programming paradigms,T
Python,features,dynamic type system,python features dynamic type system,T
Python,features,automatic memory management,python features automatic memory management,T
Python,is often used as,other dynamic languages,python is often used as other dynamic languages,T
Python,is often used as,a scripting language,python is often used as a scripting language,T
Python,is also used in,a wide range,python is also used in a wide range,F
party tools,can be packaged into,standalone executable programs,party tools can be packaged into standalone executable programs,F
Python interpreters,are available for,many operating systems,python interpreters are available for many operating systems,T
source software,has,development model,source software has development model,F
a wide variety,see,Python implementations,a wide variety see python implementations,F
The philosophy,is succinctly formulated in,The Zen,the philosophy is succinctly formulated in the zen,F
Python,uses,syntax,python uses syntax,F
Python,uses,many other languages,python uses many other languages,F
Python,comes with,a basic IDE called IDLE,python comes with a basic ide called idle,T
question,includes,issues,question includes issues,F
question,use,python,question use python,F
question,use,python-3.x,question use python-3.x,F
many beginners,face,canonical duplicate targets,many beginners face canonical duplicate targets,F
many beginners,face,the common questions,many beginners face the common questions,F
distributions,come with,pip,distributions come with pip,F
easy_install,was released in,part,easy_install was released in part,F
easy_install,installing,installing dependencies,easy_install installing installing dependencies,T
easy_install,was notable at,the time,easy_install was notable at the time,T
A simple Python library,is meant to simplify,many methods,a simple python library is meant to simplify many methods,F
connection,pooling are automatically handled to provide,ultimate simplicity,connection pooling are automatically handled to provide ultimate simplicity,F
A simple Python library,uses,C APIs,a simple python library uses c apis,T
an easy Python interface,modify,image files,an easy python interface modify image files,F
an easy Python interface,modify,many different ways,an easy python interface modify many different ways,F
A simple Python library,provide,an easy Python interface,a simple python library provide an easy python interface,F
websites,structured,data,websites structured data,F
extract,structured,data,extract structured data,F
websites,structured,websites pages,websites structured websites pages,F
extract,structured,websites pages,extract structured websites pages,F
web scraping framework,structured,data,web scraping framework structured data,F
Scrapy,can be used for,testing,scrapy can be used for testing,T
Scrapy,can be used for,a wide range,scrapy can be used for a wide range,F
Scrapy,can be used for,data mining,scrapy can be used for data mining,T
Beautiful Soup,creates,tree,beautiful soup creates tree,F
tree,can be used to extract,parsed pages,tree can be used to extract parsed pages,F
tree,can be used to extract,data,tree can be used to extract data,F
Beautiful Soup,is available for,Python,beautiful soup is available for python,T
Beautiful Soup,is available for,Python,beautiful soup is available for python,T
building Python applications,work with,human language data,building python applications work with human language data,F
building Python applications,work with,the processing,building python applications work with the processing,F
building Python applications,work with,human language data,building python applications work with human language data,F
building Python applications,work with,the processing,building python applications work with the processing,F
question,has,anything,question has anything,F
level Python Web framework,encourages,pragmatic design,level python web framework encourages pragmatic design,F
level Python Web framework,encourages,rapid development,level python web framework encourages rapid development,F
Flask,provides,monolithic structure,flask provides monolithic structure,T
Flask,does not enforce,dependencies,flask does not enforce dependencies,T
dependencies,allows for,freedom,dependencies allows for freedom,F
dependencies,allows for,control,dependencies allows for control,F
other applications,require,lived connection,other applications require lived connection,F
Tornado,can scale to,open connections,tornado can scale to open connections,T
web framework,enables,developers,web framework enables developers,F
web framework,build,web applications,web framework build web applications,T
source code,is developed in,time,source code is developed in time,F
A lightweight web framework,combines,ideas,a lightweight web framework combines ideas,F
the emerging WSGI standard,allows,extensive re-use,the emerging wsgi standard allows extensive re-use,T
the emerging WSGI standard,allows,flexibility,the emerging wsgi standard allows flexibility,F
TurboGears,was created in,Kevin Dangoor,turbogears was created in kevin dangoor,T
the current development,is being led by,Mark Ramm,the current development is being led by mark ramm,F
The bottle,has,no dependencies,the bottle has no dependencies,F
The bottle,is distributed as,a single file module,the bottle is distributed as a single file module,F
Falcon,encourages,architectural style,falcon encourages architectural style,T
Kivy,supports,multiple platforms,kivy supports multiple platforms,T
Kivy,comes with over,20 widgets,kivy comes with over 20 widgets,T
Additional Material Objects,are available via,KivyMD,additional material objects are available via kivymd,F
PyQT,is available for,Sharp Zaurus,pyqt is available for sharp zaurus,T
PyQT,is available for,Linux,pyqt is available for linux,T
PyQT,is available for,Windows,pyqt is available for windows,T
PyQT,is available for,Mac OS X,pyqt is available for mac os x,T
some features,be available in,the free version,some features be available in the free version,F
Tkinter,using,using Tk,tkinter using using tk,F
Tkinter,is commonly bundled with,Python,tkinter is commonly bundled with python,T
Tkinter,is popular for,Tkinter simplicity,tkinter is popular for tkinter simplicity,F
Tkinter,is popular for,graphical user interface,tkinter is popular for graphical user interface,T
many users,can help,questions,many users can help questions,F
inserts,displays,the natural GUI,inserts displays the natural gui,F
little code,displays,the natural GUI,little code displays the natural gui,F
NumPy,contains among,other things,numpy contains among other things,F
SciPy,includes,algorithms,scipy includes algorithms,T
SciPy,includes,tools,scipy includes tools,T
SciPy,is closely related to,NumPy,scipy is closely related to numpy,T
SciPy,depends on,many NumPy functions,scipy depends on many numpy functions,T
a multidimensional array,is used as,the basic data structure,a multidimensional array is used as the basic data structure,F
a multidimensional array,is used as,SciPy,a multidimensional array is used as scipy,F
matplotlib,provides,API,matplotlib provides api,T
matplotlib,provides,applications,matplotlib provides applications,T
Pandas,integrates,matplotlib's plotting capabilities,pandas integrates matplotlib's plotting capabilities,T
Pandas,integrates,many other libraries' features,pandas integrates many other libraries' features,T
Pandas,integrates,NumPy's matrix operations,pandas integrates numpy's matrix operations,T
Theano,does on,the interface Python code making Theano,theano does on the interface python code making theano,F
the interface Python code making Theano,optimized using,routines,the interface python code making theano optimized using routines,F
Theano,features,automatic differentiation,theano features automatic differentiation,T
Blender,supports,the entirety,blender supports the entirety,F
source machine learning library,written in,Python,source machine learning library written in python,F
Theano,supports,training,theano supports training,T
Theano,supports,testing,theano supports testing,T
question,has,anything,question has anything,F
a Python package,wraps,C,a python package wraps c,F
Cython,makes,writing C extensions,cython makes writing c extensions,T
The original PHP project,invented by,Rasmus Lerdorf,the original php project invented by rasmus lerdorf,T
The original PHP project,stands for,Today,the original php project stands for today,F
The original PHP project,stands for,the recursive acronym PHP,the original php project stands for the recursive acronym php,F
stable release,can be found on,the PHP website,stable release can be found on the php website,F
development changes,can be found on,the PHP website,development changes can be found on the php website,F
development branches,can be found on,the PHP website,development branches can be found on the php website,F
the source code,is available at,PHP's GitHub repository,the source code is available at php's github repository,F
any other Linux PHP,provides,web server,any other linux php provides web server,F
these applications,include,other components,these applications include other components,F
web server,can be started using,the following command,web server can be started using the following command,F
the server,will listen on,port,the server will listen on port,F
3v4l,act like,jsfiddle,3v4l act like jsfiddle,T
PHP Sandbox,act like,jsfiddle,php sandbox act like jsfiddle,T
codepad,act like,jsfiddle,codepad act like jsfiddle,T
all relevant code,be included in,question,all relevant code be included in question,F
all relevant code,be included in,answer,all relevant code be included in answer,F
All versions,have been announced,end,all versions have been announced end,F
PHP,installed on,machine,php installed on machine,F
The PEAR repository,contains,classes,the pear repository contains classes,T
The PEAR repository,is also possible to download,the documentation,the pear repository is also possible to download the documentation,T
the PHP Framework Interop Group,has created,sets,the php framework interop group has created sets,F
PHP,supports,a wide range,php supports a wide range,F
PHP,is often paired with,relational database,php is often paired with relational database,T
PHP,includes,great database support,php includes great database support,T
All modern versions,include,PDO,all modern versions include pdo,F
PECL extensions,offer,NoSQL,pecl extensions offer nosql,T
database support,have surfaced,including Apache Thrift,database support have surfaced including apache thrift,F
database support,have surfaced,MongoDB,database support have surfaced mongodb,F
database support,have surfaced,Redis,database support have surfaced redis,F
database support,have surfaced,others,database support have surfaced others,F
party contributions,are,the vast functionality,party contributions are the vast functionality,F
a package management tool,inspired by,npm,a package management tool inspired by npm,F
a package management tool,inspired by,Ruby,a package management tool inspired by ruby,F
project dependencies,be specified in,a JSON file,project dependencies be specified in a json file,F
Composer,uses,packages,composer uses packages,F
Composer,uses,Packagist,composer uses packagist,F
Packagist,is rapidly growing to contain,popular PHP libraries,packagist is rapidly growing to contain popular php libraries,F
Packagist,contain many of,popular PHP libraries,packagist contain many of popular php libraries,T
Software,downloaded with,Composer,software downloaded with composer,F
a number,have been proposed,the PHP Framework Interop Group,a number have been proposed the php framework interop group,F
a number,have been proposed,the PHP Framework Interop Group,a number have been proposed the php framework interop group,F
coding standards,are known as,the PHP Standards Recommendations,coding standards are known as the php standards recommendations,F
status,can be found on,FIG Recommendations page,status can be found on fig recommendations page,F
status,can be found on,the PHP Standards Recommendations,status can be found on the php standards recommendations,F
Android,is based on,version,android is based on version,F
Android,is designed primarily for,mobile devices,android is designed primarily for mobile devices,T
Google,has further developed,Android TV,google has further developed android tv,T
Google,Wear,OS,google wear os,F
Google,has further developed,addition,google has further developed addition,F
Google,has further developed,televisions,google has further developed televisions,T
Google,Wear,wrist watches,google wear wrist watches,F
Variants,are also used on,other electronics,variants are also used on other electronics,F
Variants,are also used on,game,variants are also used on game,F
Variants,are also used on,digital cameras,variants are also used on digital cameras,F
Variants,are also used on,PCs,variants are also used on pcs,F
app,has stopped,problem,app has stopped problem,F
app,has stopped,app,app has stopped app,F
app,has stopped,any other exception,app has stopped any other exception,F
specific tags,are used for,developer assistance,specific tags are used for developer assistance,F
specific tags,are meant for,libraries,specific tags are meant for libraries,F
butterknife otto picassogreendao Android Developers,Contains,the SDK downloads,butterknife otto picassogreendao android developers contains the sdk downloads,T
butterknife otto picassogreendao Android Developers,Contains,documentation,butterknife otto picassogreendao android developers contains documentation,T
butterknife otto picassogreendao Android Developers,Contains,class reference,butterknife otto picassogreendao android developers contains class reference,T
butterknife otto picassogreendao Android Developers,Contains,tutorials,butterknife otto picassogreendao android developers contains tutorials,T
Android Open Source Project,Contains,all necessary information,android open source project contains all necessary information,T
Google developer conference,Contains,videos,google developer conference contains videos,T
Google developer conference,Contains,slides,google developer conference contains slides,T
Google developer conference,Contains,videos,google developer conference contains videos,T
